Anime,Season,Anime Type,Episodes,Genres,Description,Characters,Recommendations
Gensou Sangokushi: Tengen Reishinki,Musim dingin 2022,TV,12,"Fantasi, Sejarah","In spite of their defeat, the remnant factions of the Taipingtao Revolution continue to resist, plunging China into a seemingly never-ending war. Moreover, the negative emotions left behind by the rebellion's massive death toll begin to form miasma—giving birth to malignant beings called the ""wangliang."" These creatures can possess humans and turn them into horrifying demons, thus bringing about more deaths and miasma and spinning a vicious cycle that inflicts further despair upon the land.

As a countermeasure, the immortal deities known as the ""Tianyuan"" select certain individuals to be ""Hunters."" Accompanying them are the ""Guizhan,"" specialists created by the Tianyuan who can absorb miasma and transform into demons themselves, acting as indispensable weapons against the wangliang.

After a tragic accident involving an out-of-control Guizhan causes the disbandment of the Sixth Hunter Unit, the Tianyuan designate three promising Hunters—namely Ji Ying, Qiao Xun, and Yan Ding—to reform the group. However, for an unknown reason, the Tianyuan also appoint Xiao Ling—the young Guizhan responsible for the former unit's downfall—to fight alongside the trio. Despite growing tensions, the members of the revived team must settle their differences and collectively use their abilities to attain victory against the common enemy.

[Written by MAL Rewrite]",Ouki; Teiken; Shourei; Shunkyou,"Dolls' Frontline, Teikou Penguin, Build Divide: Code Black, Garugaku. II: Lucky Stars, Mahouka Koukou no Rettousei: Tsuioku-hen, Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2, Sono Bisque Doll wa Koi wo Suru, Ouji no Honmei wa Akuyaku Reijou, Hairpin Double, Fantasy Bishoujo Juniku Ojisan to, Gunjou no Fanfare, Mahouka Koukou no Rettousei (Zoku-hen), Orient, Akebi-chan no Sailor-fuku, Saiyuuki Reload: Zeroin, Akachan Honbuchou 2nd Season"
Shenmue the Animation,Musim dingin 2022,TV,13,"Aksi, Seni Bela Diri","1985, Yokosuka. Ryo Hazuki has trained to master the Hazuki Style Jujitsu under his strict father in the Hazuki Dojo from his childhood. However, one day a mysterious man named Lan Di murders his father and takes the “mirror” his father was protecting. Ryo is determined to find the truth behind his father’s murder, but soon finds himself getting stuck in a war between the underground organizations…. Traveling from Yokosuka to Hong Kong, Ryo’s long journey begins!

(Source: Crunchyroll)","Hazuki, Ryou; Di, Lan; Hong, Xiuying; Ren, Wuying; Ling, Shenhua; Joy; Harasaki, Nozomi; Johnson, Tom; Chen, Guizhang; Yuan","Birdie Wing: Golf Girls' Story, Yami Shibai 10, Tensai Ouji no Akaji Kokka Saisei Jutsu, Thermae Romae Novae, Nanatsu no Taizai: Mokushiroku no Yonkishi, Delicious Party♡Precure, Healer Girl, Baraou no Souretsu, Shachiku-san wa Youjo Yuurei ni Iyasaretai., Tales of Luminaria: The Fateful Crossroad, Fantasy Bishoujo Juniku Ojisan to, Irodorimidori, Shenmue: The Movie, Sabikui Bisco, Shokei Shoujo no Virgin Road, Kaijin Kaihatsu-bu no Kuroitsu-san"
Saiyuuki Reload: Zeroin,Musim dingin 2022,TV,13,"Aksi, Mitologi, Josei","Getting ambushed by rogue demons on the road is business as usual for the Sanzou party. But when their latest assailants turn out to be humans, the group is left dumbfounded. The mystery only deepens when they encounter a wandering priest, Hazel Grouse, and his imposing bodyguard, Gaty Nene Hawk. The pair hails from the far West, with Hazel using his powers of resurrection to aid grief-stricken villages. While his ability is greatly welcomed by the people, the truth behind it is less miraculous than it seems. Furthermore, the resurrected humans gain golden eyes, a trait they share with the group's recent attackers. It appears that the friendly priest's intentions are not as generous as one might expect—and the Sanzou party is a step away from unraveling them.

[Written by MAL Rewrite]","Genjou, Sanzou; Son, Gokuu; Cho, Hakkai; Sha, Gojou; Grouse, Hazel; Nene Hawk, Gaty; Kougaiji; Jianyi, Ni; Koumyou, Sanzo; Jeep","Saiyuuki Reload Gunlock, Meitantei Conan: Zero no Tea Time, Baraou no Souretsu, Saiyuuki Gaiden, Karakai Jouzu no Takagi-san 3, Baraou no Souretsu Recap, Mahouka Koukou no Rettousei: Tsuioku-hen, Akebi-chan no Sailor-fuku, Shenmue the Animation, Shikkakumon no Saikyou Kenja, Inzai Aru Aru Monogatari, Blade Runner: Black Lotus, Kyoukai Senki Part 2, Gensou Sangokushi: Tengen Reishinki, Saihate no Paladin 2nd Season, Koroshi Ai"
Irodorimidori,Musim dingin 2022,TV,8,"Sepotong Kehidupan, CGDCT","Maigahara Senior High School is a prestigious institution renowned for producing many talented musicians over the years. True to the school's reputation, an intriguing rumor is widespread among its students: whosoever provides a spectacular performance at the upcoming festival will receive extra credits. 

Serina Akesaka is an outgoing first-year student on the verge of failing her classes. After recalling the circulating rumor, Serina decides to recruit four students—Nazuna Tennouzu, Aliciana Ogata, Hakobe Naru, and Nagi Kobotoke—to form a band with her. As these five passionate girls start their journey together, the music they will soon produce is bound to touch everyone's hearts and leave an everlasting impact.

[Written by MAL Rewrite]
","Hakobe, Naru; Ogata, Aliciana; Kobotoke, Nagi; Tennouzu, Nazuna; Akesaka, Serina; Tsukisuzu, Nachi","Tenshi no 3P!, K-On!, BanG Dream! Movie: Poppin' Dream!, Akebi-chan no Sailor-fuku, Tensai Ouji no Akaji Kokka Saisei Jutsu, Slow Loop, Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season, Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon Desu, Change Our Mirai!, Princess Principal: Crown Handler Movie 2 - Revealing Reviews, Shachiku-san wa Youjo Yuurei ni Iyasaretai., Chikyuugai Shounen Shoujo, Baby-Hamitang, Atasha Kawashiri Kodama Da yo: Dangerous Lifehacker no Tadareta Seikatsu, Yami Shibai 10, Blue Thermal"
Atasha Kawashiri Kodama Da yo: Dangerous Lifehacker no Tadareta Seikatsu,Musim dingin 2022,TV,24,Komedi,"The story depicts the lazy, unhealthy daily life of Kawashiri, who loves alcohol and anything greasy, salty, or sweet.

(Source: ANN)","Kawashiri, Kodama","Osake wa Fuufu ni Natte kara, Delicious Party♡Precure, Kakkou no Iinazuke, Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches, Shadowverse Flame, Cardfight!! Vanguard: will+Dress, Liella no Uta, Hanabi-chan wa Okuregachi, Yami Shibai 10, Love All Play, Kaijin Kaihatsu-bu no Kuroitsu-san, Yoru wa Neko to Issho, Jashin-chan Dropkick X, Gakitabi!: Akechi no Furusato, Akebi-chan no Sailor-fuku, Pont Qiao Booth"
Yami Shibai 10,Musim dingin 2022,TV,13,Garda depan,Tenth season of Yami Shibai,Storyteller,"Yami Shibai 4, Shikkakumon no Saikyou Kenja, Futsal Boys!!!!!, Tonikaku Kawaii: Seifuku, Yami Shibai: Furuido, Kyoukai Senki Part 2, Motto! Majime ni Fumajime Kaiketsu Zorori 3rd Season, At Atelier, Tokyo Revengers: Seiya Kessen-hen, Kenja no Deshi wo Nanoru Kenja, Shenmue the Animation, Massara, Leadale no Daichi nite, Shingeki no Kyojin: The Final Season - Kanketsu-hen, I Love Me, Karakai Jouzu no Takagi-san 3"
Delicious Party♡Precure,Musim dingin 2022,TV,?,"Aksi, Mahou Shoujo, Shoujo","The mysterious, delicious world of CooKingdom, which rules over all the cuisine in this world. CooKingdom has closely guarded the Recipe-Bon, in which it's written how to prepare any dish. But, oh no! One day, it gets stolen by the Bundoru Gang! The Bundoru Gang plans to monopolize everything for themselves, and their next target is the Cuisine Fairy Recipeppi... The Energy Fairies have come to Oishi-Na Town in the human world in search of the Recipe-Bon. With their help, an unexpected turn of events leads to three ordinary girls transforming into Pretty Cures! They stand up to the Bundoru Gang, to recover the Recipe-Bon, and to protect everyone's delicious smiles! 

(Source: Toei Animation USA)","Nagomi, Yui; Fuwa, Kokone; Hanamichi, Ran; Kasai, Amane; Shinada, Takumi; Kome-Kome; Rosemary; Narcistole; Pam-Pam; Mem-Mem","Yoru wa Neko to Issho, Tate no Kuni PV, Obey Me! Season 2, Muv-Luv Alternative 2nd Season, Yami Shibai 10, Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season, Kami Kuzu☆Idol, Extreme Hearts, Love Live! Superstar!! 2nd Season, Star☆Twinkle Precure, Chimimo, Love All Play, Kirakira☆Precure A La Mode, Jashin-chan Dropkick X, Healin' Good♡Precure Movie: Yume no Machi de Kyun! Tto GoGo! Dai Henshin!!, Sekai no Owari ni Shiba Inu to"
Sabiiro no Armor: Reimei,Musim dingin 2022,TV,12,"Aksi, Historis","The era is a turbulent Warring States period in Hinomoto. Kinokuni, the unexplored region of the mountains and the sea. In the depths of this deep forest, there is a group using ""Yatagarasu"" as their flag symbol and using guns as weapons. Their name is ""Saikashu"". It is ""Magoichi"" who arrived from a foreign country that inherited the name as the head of Saikashu. On the other hand, ""Saburo"" quickly senses the signs of aggression from the European powers and struggles to protect Hinomoto.

The fate of the two who would not meet originally will be crossed by the fight against the invaders who came from a foreign country ─!

(Source: YTV)","Oda, Saburou Nobunaga; Magoichi; Ageha; Deku; Hotarubi; Cortez, Lucio; Hototogisu; Kurohyou; Tsurukubi","Delicious Party♡Precure, Sabikui Bisco, Teikou Penguin, Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Final Season - Asaki Yume no Akatsuki, Slow Loop, Jing Cui Xian Zun, Anata wo Hitokoto de Arawashite Kudasai: no Shitsumon ga Nigate da., Yami Shibai 10, Sorairo Utility, Shadowverse Flame, Ouji no Honmei wa Akuyaku Reijou, Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note Special, Goodbye, DonGlees!, Shenmue the Animation, Kamigawa: Kagayakeru Sekai, Gensou Sangokushi: Tengen Reishinki"
On Air Dekinai!,Musim dingin 2022,TV,12,"Komedi, Showbiz","Set in 2014, the anime follows the adventures of 23 years old Mafuneko, a newly minted assistant director who joins the TV production department at Tokyo Hajikko Television, only to discover that the glamorous and glitzy life of working behind-the-scenes making TV shows involves strange and inexplicable tasks such as ""gathering 300 acorns"" and ""making a mosaic out of the images reflected in the camera lens."" Despite being surrounded by chaos, set-backs, and weirdos, Mafuneko struggles to become a fully-fledged TV producer.

(Source: Crunchyroll, edited)",Mafuneko; Chief AD Yokoyama; Yori-chan; Director Onigawara,"Orient, Otome wa Boku ni Koishiteru: Trinkle Stars The Animation, Kaijin Kaihatsu-bu no Kuroitsu-san, Koroshi Ai, Sabikui Bisco, Yami Shibai 10, Kyoukai Senki Part 2, Irodorimidori, Gunjou no Fanfare, Dolls' Frontline, Tensai Ouji no Akaji Kokka Saisei Jutsu, SpoGomi: World Cup Exhibition Match-hen, Shiawase Haitatsu Taneko, Yaku nara Mug Cup mo: Niban Gama, My Daughter is a Zombie, Delicious Party♡Precure"
Ninjala (TV),Musim dingin 2022,TV,?,Aksi,"The year is 20XX. The ninja, who once forged the history of Japan, were scattered across the country during the Meiji Restoration. As these ninja mingled with the other clans, their bloodline thinned, and they gradually faded from sight. The descendants of these ninja clans, seeking to preserve their heritage, formed the WNA (World Ninja Association) in the hope of carrying on their legacy.

And so it was that the WNA succeeded in developing Ninja-Gum, an art which could summon forth the strength of the Shinobi. And yet creating the most powerful Ninja-Gum requires the strongest of ninja DNA. So it was that the Ninjala Tournament was held, that the mightiest of all ninjas could be found... 

(Source: Official Game website)",Berecca; Kappei; Emma; Gumchi; Lucy; Van; Ron; Jane; Burton,"Hakozume: Kouban Joshi no Gyakushuu, Tales of Luminaria: The Fateful Crossroad, Lovesky Sagashite..., Warau Arsnotoria Sun!, Kami Kuzu☆Idol, Futsal Boys!!!!!, Delicious Party♡Precure, Chickip Dancers, Motto! Majime ni Fumajime Kaiketsu Zorori 3rd Season, Blue Thermal, Saiyuuki Reload: Zeroin, Cap Kakumei Bottleman DX, Suzumi Hiyori no ""LIP×LIP"" Shuzai Report!, Bakugan: Evolutions, Teppen!!!!!!!!!!!!!!!, Shen Mu"
Garugaku. II: Lucky Stars,Musim dingin 2022,TV,50,Idola (Wanita),"Sequel of Gal-gaku.: Hijiri Girls Square Gakuin, featuring Lucky2 as the cast.","Higa, Yuwa; Sato, Kanna; Fukasawa, Hiiro; Nagayama, Tsubaki; Sugiura, Yura; Yamaguchi, Rina; Hamura, Chino; Morimura, Takeo","Fantasy Bishoujo Juniku Ojisan to, Cardfight!! Vanguard: will+Dress, Shadowverse Flame, Garugaku.: Sei Girls Square Gakuin, Shikkakumon no Saikyou Kenja, Hakozume: Kouban Joshi no Gyakushuu, Princess Principal: Crown Handler Movie 2 - Revealing Reviews, Yaku nara Mug Cup mo: Niban Gama, Cardfight!! Vanguard: overDress Season 2, Hua Kaizhang Meili, Zannen na Ikimono Jiten (2022), Duel Masters King Max, I Love Me, Mewkledreamy Mix!, Goodbye, DonGlees!, Kenda Master Ken (TV)"
Teikou Penguin,Musim dingin 2022,TV,?,Tempat kerja,"Centers on a penguin who works in an abusive company and gripes about the difficulties of workplace life. The title is a play on the ""koutei penguin,"" the Japanese name for the emperor penguin.

(Source: ANN)",,"Konu to Tanoshii Otomodachi, Sakuretsu! Amabie-hime., Kirin the Noop, Yoru wa Neko to Issho, Petit Seka, Akachan Honbuchou 2nd Season, Sazae-san, Motto! Majime ni Fumajime Kaiketsu Zorori 3rd Season, Orient, Hua Kaizhang Meili, Saiyuuki Reload: Zeroin, Xin Weiqi Shaonian, Tales of Luminaria: The Fateful Crossroad, Chimimo, Yoshida Katsuko no Yabai wa! SDGs: Araburu! Trouble! Sustainable!, Puzzle & Dragon"
Akachan Honbuchou 2nd Season,Musim dingin 2022,TV,8,"Komedi, Tempat Kerja, Seinen",The second season of Akachan Honbuchou.,"Takeda, General Manager","Yami Shibai 10, Shadowverse Flame, Shachiku-san wa Youjo Yuurei ni Iyasaretai., Atasha Kawashiri Kodama Da yo: Dangerous Lifehacker no Tadareta Seikatsu, Kono Healer, Mendokusai, Blade Runner: Black Lotus, Mobile Suit Gundam: Iron-Blooded Orphans Special Edition, Aisou ze!, Renai Flops, Fantasy Bishoujo Juniku Ojisan to, Chickip Dancers, Slow Loop, Baby-Hamitang, Kyoukai Senki Part 2, On Air Dekinai!, Ryman's Club"
Akachan Honbuchou 3rd Season,Musim dingin 2022,TV,10,"Komedi, Tempat Kerja, Seinen",The third season of Akachan Honbuchou.,,"Date A Live V, Kono Subarashii Sekai ni Bakuen wo!, Kingdom 4th Season, Mobile Suit Gundam: Iron-Blooded Orphans Special Edition, Larva Island Movie, Build Divide: Code White, Garugaku. II: Lucky Stars, Akachan Honbuchou 2nd Season, Deji Meets Girl, Shiro Seijo to Kuro Bokushi, Trigun Stampede, Iii Icecrin Double, Zannen na Ikimono Jiten (2021), Kaijin Kaihatsu-bu no Kuroitsu-san, Shadowverse Flame, Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto Mini Anime"
Zannen na Ikimono Jiten (2022),Musim dingin 2022,TV,5,"Komedi, Pendidikan",No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,,"Hanabi-chan wa Okuregachi, Enen no Shouboutai: San no Shou, Akebi-chan no Sailor-fuku, Baraou no Souretsu, Akachan Honbuchou 2nd Season, Shokei Shoujo no Virgin Road, Kyoukai Senki Part 2, Chickip Dancers, Kingdom 4th Season, Yatogame-chan Kansatsu Nikki, Extreme Hearts, Warau Arsnotoria Sun!, Birdie Wing: Golf Girls' Story Season 2, Iii Icecrin Double, Hakozume: Kouban Joshi no Gyakushuu, Komi-san wa, Comyushou desu. 2nd Season"
